,0
813,1
814,0
815,1
816,1
817,0
818,0
819,0
820,0
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,1
835,1
836,1
837,1
838,1
839,1
840,0
841,0
842,0
843,0
844,1
845,0
846,0
847,0
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,0
857,1
858,0
859,1
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,1
901,1
902,0
903,0
904,1
905,1
906,1
907,1
908,0
909,1
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,1
920,0
921,1
922,1
923,0
924,0
925,0
926,1
927,0
928,1
929,1
930,1
931,1
932,0
933,0
934,1
935,0
936,1
937,0
938,0
939,0
940,0
941,0
942,1
943,1
944,1
945,0
946,1
947,1
948,1
949,1
950,1
951,0
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,1
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,0
986,1
987,1
988,0
989,0
990,1
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,0
999,1
